pa, pp, ta, tp
a guilty winner removes a bottle .,a bottle is removed by a guilty winner .,the mayor grabbed the coffee .,the coffee was grabbed by the mayor .
a terrible manager beats a child .,a child is beaten by a terrible manager .,the mayor grabbed the coffee .,the coffee was grabbed by the mayor .
a funny cousin follows a minister .,a minister is followed by a funny cousin .,the mayor grabbed the coffee .,the coffee was grabbed by the mayor .
a normal girl strikes an employee .,an employee is struck by a normal girl .,the mayor grabbed the coffee .,the coffee was grabbed by the mayor .
the sad buddy selects the student .,the student is selected by the sad buddy .,a son caught a writer .,a writer was caught by a son .
the cute nurse carries the beer .,the beer is carried by the cute nurse .,a son caught a writer .,a writer was caught by a son .
the critical physician surprises the bishop .,the bishop is surprised by the critical physician .,a son caught a writer .,a writer was caught by a son .
the cool kid describes the candy .,the candy is described by the cool kid .,a son caught a writer .,a writer was caught by a son .
the great teacher accepts the engine .,the engine is accepted by the great teacher .,a son caught a writer .,a writer was caught by a son .
the calm mother forgets the pie .,the pie is forgotten by the calm mother .,a son caught a writer .,a writer was caught by a son .
the calm prince washes the actor .,the actor is washed by the calm prince .,a son caught a writer .,a writer was caught by a son .
the ill girl joins the woman .,the woman is joined by the ill girl .,a son caught a writer .,a writer was caught by a son .
the mad priest punches the actress .,the actress is punched by the mad priest .,a son caught a writer .,a writer was caught by a son .
the curious doctor leaves the instrument .,the instrument is left by the curious doctor .,a son caught a writer .,a writer was caught by a son .
the good professor bothered the army .,the army was bothered by the good professor .,a champion embraces a guy .,a guy is embraced by a champion .
the innocent manager described the woman .,the woman was described by the innocent manager .,a champion embraces a guy .,a guy is embraced by a champion .
the silly physician bothered the lawyer .,the lawyer was bothered by the silly physician .,a champion embraces a guy .,a guy is embraced by a champion .
the crazy secretary beat the actress .,the actress was beaten by the crazy secretary .,a champion embraces a guy .,a guy is embraced by a champion .
the alert author killed the soldier .,the soldier was killed by the alert author .,a champion embraces a guy .,a guy is embraced by a champion .
the violent leader forgave the administration .,the administration was forgiven by the violent leader .,a champion embraces a guy .,a guy is embraced by a champion .
the rich buddy helped the bishop .,the bishop was helped by the rich buddy .,a champion embraces a guy .,a guy is embraced by a champion .
the normal princess chased the company .,the company was chased by the normal princess .,a champion embraces a guy .,a guy is embraced by a champion .
the terrible secretary caught the coffee .,the coffee was caught by the terrible secretary .,a champion embraces a guy .,a guy is embraced by a champion .
the glad professor left the engine .,the engine was left by the glad professor .,a champion embraces a guy .,a guy is embraced by a champion .
the famous writer taught the attorney .,the attorney was taught by the famous writer .,an army wants a television .,a television is wanted by an army .
the famous secretary judged the band .,the band was judged by the famous secretary .,an army wants a television .,a television is wanted by an army .
the fantastic buddy used the bowl .,the bowl was used by the fantastic buddy .,an army wants a television .,a television is wanted by an army .
the cool man selected the coffee .,the coffee was selected by the cool man .,an army wants a television .,a television is wanted by an army .
the healthy chief washed the attorney .,the attorney was washed by the healthy chief .,an army wants a television .,a television is wanted by an army .
the sophisticated husband killed the cop .,the cop was killed by the sophisticated husband .,an army wants a television .,a television is wanted by an army .
the tough candidate grabbed the cheese .,the cheese was grabbed by the tough candidate .,an army wants a television .,a television is wanted by an army .
the criminal husband forgot the coffee .,the coffee was forgotten by the criminal husband .,an army wants a television .,a television is wanted by an army .
the funny president discovered the chicken .,the chicken was discovered by the funny president .,an army wants a television .,a television is wanted by an army .
the tough friend smelled the candy .,the candy was smelled by the tough friend .,an army wants a television .,a television is wanted by an army .
the busy child killed the secretary .,the secretary was killed by the busy child .,a mayor smells a pie .,a pie is smelled by a mayor .
the generous girl carried the lady .,the lady was carried by the generous girl .,a mayor smells a pie .,a pie is smelled by a mayor .
the odd husband asked the administration .,the administration was asked by the odd husband .,a mayor smells a pie .,a pie is smelled by a mayor .
the awful aunt comforted the singer .,the singer was comforted by the awful aunt .,a mayor smells a pie .,a pie is smelled by a mayor .
the insane author comforted the actress .,the actress was comforted by the insane author .,a mayor smells a pie .,a pie is smelled by a mayor .
the sensitive child broke the instrument .,the instrument was broken by the sensitive child .,a mayor smells a pie .,a pie is smelled by a mayor .
the modest captain discovered the book .,the book was discovered by the modest captain .,a mayor smells a pie .,a pie is smelled by a mayor .
the hungry princess removed the glass .,the glass was removed by the hungry princess .,a mayor smells a pie .,a pie is smelled by a mayor .
the stupid lady hurt the business .,the business was hurt by the stupid lady .,a mayor smells a pie .,a pie is smelled by a mayor .
the nice partner caught the nurse .,the nurse was caught by the nice partner .,a mayor smells a pie .,a pie is smelled by a mayor .
the angry uncle hurts the lawyer .,the lawyer is hurt by the angry uncle .,a manager chased an author .,an author was chased by a manager .
the kind guest describes the motor .,the motor is described by the kind guest .,a manager chased an author .,an author was chased by a manager .
the cute cousin selects the beer .,the beer is selected by the cute cousin .,a manager chased an author .,an author was chased by a manager .
the busy cop teaches the physician .,the physician is taught by the busy cop .,a manager chased an author .,an author was chased by a manager .
the silly guest surprises the sheriff .,the sheriff is surprised by the silly guest .,a manager chased an author .,an author was chased by a manager .
the normal cousin forgets the friend .,the friend is forgotten by the normal cousin .,a manager chased an author .,an author was chased by a manager .
the sexy minister breaks the newspaper .,the newspaper is broken by the sexy minister .,a manager chased an author .,an author was chased by a manager .
the english attorney discovers the teacher .,the teacher is discovered by the english attorney .,a manager chased an author .,an author was chased by a manager .
the alert adult beats the candidate .,the candidate is beaten by the alert adult .,a manager chased an author .,an author was chased by a manager .
the awful aunt removes the cigarette .,the cigarette is removed by the awful aunt .,a manager chased an author .,an author was chased by a manager .
the athletic aunt discovers the juice .,the juice is discovered by the athletic aunt .,a captain selected a coffee .,a coffee was selected by a captain .
the sophisticated bishop surprises the employee .,the employee is surprised by the sophisticated bishop .,a captain selected a coffee .,a coffee was selected by a captain .
the tall doctor wraps the plate .,the plate is wrapped by the tall doctor .,a captain selected a coffee .,a coffee was selected by a captain .
the tall reader follows the band .,the band is followed by the tall reader .,a captain selected a coffee .,a coffee was selected by a captain .
the criminal guest forgets the daughter .,the daughter is forgotten by the criminal guest .,a captain selected a coffee .,a coffee was selected by a captain .
the reliable father eats the chicken .,the chicken is eaten by the reliable father .,a captain selected a coffee .,a coffee was selected by a captain .
the funny manager kills the buddy .,the buddy is killed by the funny manager .,a captain selected a coffee .,a coffee was selected by a captain .
the pale partner kisses the daughter .,the daughter is kissed by the pale partner .,a captain selected a coffee .,a coffee was selected by a captain .
the creative prince destroys the beer .,the beer is destroyed by the creative prince .,a captain selected a coffee .,a coffee was selected by a captain .
the cool lady understands the son .,the son is understood by the cool lady .,a captain selected a coffee .,a coffee was selected by a captain .
a sensitive champion comforted a chief .,a chief was comforted by a sensitive champion .,the woman drags the aunt .,the aunt is dragged by the woman .
a calm lawyer embraced an employer .,an employer was embraced by a calm lawyer .,the woman drags the aunt .,the aunt is dragged by the woman .
a rich son beat a reader .,a reader was beaten by a rich son .,the woman drags the aunt .,the aunt is dragged by the woman .
a glad boy joined a corporation .,a corporation was joined by a glad boy .,the woman drags the aunt .,the aunt is dragged by the woman .
an honest opponent destroyed a salad .,a salad was destroyed by an honest opponent .,the woman drags the aunt .,the aunt is dragged by the woman .
a brave kid carried a tea .,a tea was carried by a brave kid .,the woman drags the aunt .,the aunt is dragged by the woman .
a jewish lawyer joined a manager .,a manager was joined by a jewish lawyer .,the woman drags the aunt .,the aunt is dragged by the woman .
a sexy guy led an army .,an army was led by a sexy guy .,the woman drags the aunt .,the aunt is dragged by the woman .
a foreign club protected a captain .,a captain was protected by a foreign club .,the woman drags the aunt .,the aunt is dragged by the woman .
a modest reader wrapped a crystal .,a crystal was wrapped by a modest reader .,the woman drags the aunt .,the aunt is dragged by the woman .
a blind priest wanted a bell .,a bell was wanted by a blind priest .,the aunt eats the pie .,the pie is eaten by the aunt .
a cool mother hurried a leader .,a leader was hurried by a cool mother .,the aunt eats the pie .,the pie is eaten by the aunt .
a nervous pilot chased an administration .,an administration was chased by a nervous pilot .,the aunt eats the pie .,the pie is eaten by the aunt .
an english army helped a daughter .,a daughter was helped by an english army .,the aunt eats the pie .,the pie is eaten by the aunt .
an attractive actress left a log .,a log was left by an attractive actress .,the aunt eats the pie .,the pie is eaten by the aunt .
a nice sheriff taught a professor .,a professor was taught by a nice sheriff .,the aunt eats the pie .,the pie is eaten by the aunt .
an italian employee protected a father .,a father was protected by an italian employee .,the aunt eats the pie .,the pie is eaten by the aunt .
an alert employee comforted a girl .,a girl was comforted by an alert employee .,the aunt eats the pie .,the pie is eaten by the aunt .
a foreign mayor described a candy .,a candy was described by a foreign mayor .,the aunt eats the pie .,the pie is eaten by the aunt .
a innocent princess raised a writer .,a writer was raised by a innocent princess .,the aunt eats the pie .,the pie is eaten by the aunt .
an eager actress left a coat .,a coat was left by an eager actress .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
a reliable soldier raised a beer .,a beer was raised by a reliable soldier .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
a serious husband beat an actress .,an actress was beaten by a serious husband .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
a dumb son punched a mayor .,a mayor was punched by a dumb son .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
an awful army protected a winner .,a winner was protected by an awful army .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
a poor student selected a plate .,a plate was selected by a poor student .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
a rich guy killed a son .,a son was killed by a rich guy .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
a bad mayor kissed a parent .,a parent was kissed by a bad mayor .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
a responsible guest tasted a chicken .,a chicken was tasted by a responsible guest .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
a silent student comforted a chief .,a chief was comforted by a silent student .,the lawyer chases the cousin .,the cousin is chased by the lawyer .
the afraid uncle raises the chocolate .,the chocolate is raised by the afraid uncle .,a daughter embraced a woman .,a woman was embraced by a daughter .
the weird king kills the worker .,the worker is killed by the weird king .,a daughter embraced a woman .,a woman was embraced by a daughter .
the dumb minister helps the singer .,the singer is helped by the dumb minister .,a daughter embraced a woman .,a woman was embraced by a daughter .
the english author removes the instrument .,the instrument is removed by the english author .,a daughter embraced a woman .,a woman was embraced by a daughter .
the evil army protects the king .,the king is protected by the evil army .,a daughter embraced a woman .,a woman was embraced by a daughter .
the innocent nurse chases the band .,the band is chased by the innocent nurse .,a daughter embraced a woman .,a woman was embraced by a daughter .
the intelligent author joins the army .,the army is joined by the intelligent author .,a daughter embraced a woman .,a woman was embraced by a daughter .
the wise writer eats the cheese .,the cheese is eaten by the wise writer .,a daughter embraced a woman .,a woman was embraced by a daughter .
the reliable band purchases the candy .,the candy is purchased by the reliable band .,a daughter embraced a woman .,a woman was embraced by a daughter .
the loving priest discovers the knife .,the knife is discovered by the loving priest .,a daughter embraced a woman .,a woman was embraced by a daughter .
a rich corporation keeps a coat .,a coat is kept by a rich corporation .,the bishop taught the child .,the child was taught by the bishop .
a tough captain embraces a friend .,a friend is embraced by a tough captain .,the bishop taught the child .,the child was taught by the bishop .
a pale manager follows an administration .,an administration is followed by a pale manager .,the bishop taught the child .,the child was taught by the bishop .
a rich cousin comforts an actor .,an actor is comforted by a rich cousin .,the bishop taught the child .,the child was taught by the bishop .
an afraid actress drags a partner .,a partner is dragged by an afraid actress .,the bishop taught the child .,the child was taught by the bishop .
an awful employer punches an actress .,an actress is punched by an awful employer .,the bishop taught the child .,the child was taught by the bishop .
a tough captain removes a bag .,a bag is removed by a tough captain .,the bishop taught the child .,the child was taught by the bishop .
a nervous friend describes a juice .,a juice is described by a nervous friend .,the bishop taught the child .,the child was taught by the bishop .
a nervous mayor eats a salad .,a salad is eaten by a nervous mayor .,the bishop taught the child .,the child was taught by the bishop .
an illegal actor follows a father .,a father is followed by an illegal actor .,the bishop taught the child .,the child was taught by the bishop .
a holy son follows a club .,a club is followed by a holy son .,the winner purchased the flower .,the flower was purchased by the winner .
a pretty buddy kisses a student .,a student is kissed by a pretty buddy .,the winner purchased the flower .,the flower was purchased by the winner .
a great band wants a candy .,a candy is wanted by a great band .,the winner purchased the flower .,the flower was purchased by the winner .
a healthy colonel beats a princess .,a princess is beaten by a healthy colonel .,the winner purchased the flower .,the flower was purchased by the winner .
a stupid woman understands a student .,a student is understood by a stupid woman .,the winner purchased the flower .,the flower was purchased by the winner .
an awesome uncle uses a log .,a log is used by an awesome uncle .,the winner purchased the flower .,the flower was purchased by the winner .
a creative worker catches a crystal .,a crystal is caught by a creative worker .,the winner purchased the flower .,the flower was purchased by the winner .
an eager uncle hurries an employer .,an employer is hurried by an eager uncle .,the winner purchased the flower .,the flower was purchased by the winner .
an honest attorney embraces a guest .,a guest is embraced by an honest attorney .,the winner purchased the flower .,the flower was purchased by the winner .
a sweet president describes a coffee .,a coffee is described by a sweet president .,the winner purchased the flower .,the flower was purchased by the winner .
the chinese professor led the army .,the army was led by the chinese professor .,an actress raises a button .,a button is raised by an actress .
the great writer dragged the cop .,the cop was dragged by the great writer .,an actress raises a button .,a button is raised by an actress .
the ridiculous mother described the key .,the key was described by the ridiculous mother .,an actress raises a button .,a button is raised by an actress .
the tired partner drank the juice .,the juice was drunk by the tired partner .,an actress raises a button .,a button is raised by an actress .
the wonderful corporation protected the champion .,the champion was protected by the wonderful corporation .,an actress raises a button .,a button is raised by an actress .
the awful attorney grabbed the cheese .,the cheese was grabbed by the awful attorney .,an actress raises a button .,a button is raised by an actress .
the aggressive adult joined the corporation .,the corporation was joined by the aggressive adult .,an actress raises a button .,a button is raised by an actress .
the angry aunt dragged the crystal .,the crystal was dragged by the angry aunt .,an actress raises a button .,a button is raised by an actress .
the awesome adult forgot the salad .,the salad was forgotten by the awesome adult .,an actress raises a button .,a button is raised by an actress .
the criminal worker punched the adult .,the adult was punched by the criminal worker .,an actress raises a button .,a button is raised by an actress .
a patient cop hurts a club .,a club is hurt by a patient cop .,the priest smelled the anchor .,the anchor was smelled by the priest .
a criminal secretary embraces a guest .,a guest is embraced by a criminal secretary .,the priest smelled the anchor .,the anchor was smelled by the priest .
an evil actress grabs a physician .,a physician is grabbed by an evil actress .,the priest smelled the anchor .,the anchor was smelled by the priest .
a normal guest breaks a motor .,a motor is broken by a normal guest .,the priest smelled the anchor .,the anchor was smelled by the priest .
an intelligent uncle punches a child .,a child is punched by an intelligent uncle .,the priest smelled the anchor .,the anchor was smelled by the priest .
a rough chief bothers a nurse .,a nurse is bothered by a rough chief .,the priest smelled the anchor .,the anchor was smelled by the priest .
an athletic employer asks an army .,an army is asked by an athletic employer .,the priest smelled the anchor .,the anchor was smelled by the priest .
a scary business keeps a jacket .,a jacket is kept by a scary business .,the priest smelled the anchor .,the anchor was smelled by the priest .
a ill champion surprises a nurse .,a nurse is surprised by a ill champion .,the priest smelled the anchor .,the anchor was smelled by the priest .
a horrible winner helps a cousin .,a cousin is helped by a horrible winner .,the priest smelled the anchor .,the anchor was smelled by the priest .
the strange hero destroyed the anchor .,the anchor was destroyed by the strange hero .,a son teaches a teacher .,a teacher is taught by a son .
the alert employee followed the army .,the army was followed by the alert employee .,a son teaches a teacher .,a teacher is taught by a son .
the tough partner protected the bishop .,the bishop was protected by the tough partner .,a son teaches a teacher .,a teacher is taught by a son .
the strange guy tasted the salad .,the salad was tasted by the strange guy .,a son teaches a teacher .,a teacher is taught by a son .
the friendly president washed the cup .,the cup was washed by the friendly president .,a son teaches a teacher .,a teacher is taught by a son .
the evil adult ate the cheese .,the cheese was eaten by the evil adult .,a son teaches a teacher .,a teacher is taught by a son .
the brave pilot hurt the business .,the business was hurt by the brave pilot .,a son teaches a teacher .,a teacher is taught by a son .
the drunk physician embraced the wife .,the wife was embraced by the drunk physician .,a son teaches a teacher .,a teacher is taught by a son .
the silent girl raised the key .,the key was raised by the silent girl .,a son teaches a teacher .,a teacher is taught by a son .
the kind buddy beat the scientist .,the scientist was beaten by the kind buddy .,a son teaches a teacher .,a teacher is taught by a son .
an illegal employee chased an administration .,an administration was chased by an illegal employee .,the champion collects the tea .,the tea is collected by the champion .
a curious secretary left a bowl .,a bowl was left by a curious secretary .,the champion collects the tea .,the tea is collected by the champion .
a jewish professor carried a doctor .,a doctor was carried by a jewish professor .,the champion collects the tea .,the tea is collected by the champion .
a glad priest led a club .,a club was led by a glad priest .,the champion collects the tea .,the tea is collected by the champion .
a nervous prince hurried a parent .,a parent was hurried by a nervous prince .,the champion collects the tea .,the tea is collected by the champion .
a special leader carried a cheese .,a cheese was carried by a special leader .,the champion collects the tea .,the tea is collected by the champion .
a foreign company used a bell .,a bell was used by a foreign company .,the champion collects the tea .,the tea is collected by the champion .
a ridiculous man used a camera .,a camera was used by a ridiculous man .,the champion collects the tea .,the tea is collected by the champion .
a chinese captain selected a flower .,a flower was selected by a chinese captain .,the champion collects the tea .,the tea is collected by the champion .
a horrible corporation purchased a cheese .,a cheese was purchased by a horrible corporation .,the champion collects the tea .,the tea is collected by the champion .
a catholic writer grabs a machine .,a machine is grabbed by a catholic writer .,the leader led the army .,the army was led by the leader .
a beautiful brother smells a juice .,a juice is smelled by a beautiful brother .,the leader led the army .,the army was led by the leader .
a proud prince accepts a ball .,a ball is accepted by a proud prince .,the leader led the army .,the army was led by the leader .
a sensitive writer embraces a brother .,a brother is embraced by a sensitive writer .,the leader led the army .,the army was led by the leader .
a criminal priest hurries a lawyer .,a lawyer is hurried by a criminal priest .,the leader led the army .,the army was led by the leader .
a crazy boy hurries a woman .,a woman is hurried by a crazy boy .,the leader led the army .,the army was led by the leader .
a french partner selects a brother .,a brother is selected by a french partner .,the leader led the army .,the army was led by the leader .
a chinese father smells a meal .,a meal is smelled by a chinese father .,the leader led the army .,the army was led by the leader .
a fantastic child helps a worker .,a worker is helped by a fantastic child .,the leader led the army .,the army was led by the leader .
a helpful father selects an anchor .,an anchor is selected by a helpful father .,the leader led the army .,the army was led by the leader .
the silent student used the bell .,the bell was used by the silent student .,a priest embraces a candidate .,a candidate is embraced by a priest .
the tough writer judged the company .,the company was judged by the tough writer .,a priest embraces a candidate .,a candidate is embraced by a priest .
the cool mayor punched the pilot .,the pilot was punched by the cool mayor .,a priest embraces a candidate .,a candidate is embraced by a priest .
the critical girl asked the leader .,the leader was asked by the critical girl .,a priest embraces a candidate .,a candidate is embraced by a priest .
the loving colonel struck the manager .,the manager was struck by the loving colonel .,a priest embraces a candidate .,a candidate is embraced by a priest .
the pretty buddy accepted the box .,the box was accepted by the pretty buddy .,a priest embraces a candidate .,a candidate is embraced by a priest .
the bright partner killed the writer .,the writer was killed by the bright partner .,a priest embraces a candidate .,a candidate is embraced by a priest .
the silent guy hurt the corporation .,the corporation was hurt by the silent guy .,a priest embraces a candidate .,a candidate is embraced by a priest .
the powerful lawyer drank the tea .,the tea was drunk by the powerful lawyer .,a priest embraces a candidate .,a candidate is embraced by a priest .
the friendly band kept the coffee .,the coffee was kept by the friendly band .,a priest embraces a candidate .,a candidate is embraced by a priest .
the willing princess purchases the coffee .,the coffee is purchased by the willing princess .,a colonel protected a physician .,a physician was protected by a colonel .
the holy child judges the secretary .,the secretary is judged by the holy child .,a colonel protected a physician .,a physician was protected by a colonel .
the pretty son breaks the coat .,the coat is broken by the pretty son .,a colonel protected a physician .,a physician was protected by a colonel .
the responsible son accepts the motor .,the motor is accepted by the responsible son .,a colonel protected a physician .,a physician was protected by a colonel .
the terrible lawyer strikes the friend .,the friend is struck by the terrible lawyer .,a colonel protected a physician .,a physician was protected by a colonel .
the ridiculous mayor tastes the candy .,the candy is tasted by the ridiculous mayor .,a colonel protected a physician .,a physician was protected by a colonel .
the special mayor collects the juice .,the juice is collected by the special mayor .,a colonel protected a physician .,a physician was protected by a colonel .
the famous woman raises the nurse .,the nurse is raised by the famous woman .,a colonel protected a physician .,a physician was protected by a colonel .
the handsome buddy kisses the employer .,the employer is kissed by the handsome buddy .,a colonel protected a physician .,a physician was protected by a colonel .
the brave prince surprises the brave princess .,the brave princess is surprised by the brave prince .,a colonel protected a physician .,a physician was protected by a colonel .
the powerful business wants the pie .,the pie is wanted by the powerful business .,a lawyer collected a meal .,a meal was collected by a lawyer .
the tough hero washes the reader .,the reader is washed by the tough hero .,a lawyer collected a meal .,a meal was collected by a lawyer .
the weird hero surprises the president .,the president is surprised by the weird hero .,a lawyer collected a meal .,a meal was collected by a lawyer .
the reliable cop asks the administration .,the administration is asked by the reliable cop .,a lawyer collected a meal .,a meal was collected by a lawyer .
the fantastic daughter raises the beer .,the beer is raised by the fantastic daughter .,a lawyer collected a meal .,a meal was collected by a lawyer .
the religious business helps the brother .,the brother is helped by the religious business .,a lawyer collected a meal .,a meal was collected by a lawyer .
the bright sheriff drags the flower .,the flower is dragged by the bright sheriff .,a lawyer collected a meal .,a meal was collected by a lawyer .
the criminal candidate forgives the man .,the man is forgiven by the criminal candidate .,a lawyer collected a meal .,a meal was collected by a lawyer .
the american opponent punches the adult .,the adult is punched by the american opponent .,a lawyer collected a meal .,a meal was collected by a lawyer .
the tired partner smells the chocolate .,the chocolate is smelled by the tired partner .,a lawyer collected a meal .,a meal was collected by a lawyer .
the brilliant parent forgives the army .,the army is forgiven by the brilliant parent .,a candidate collected a chicken .,a chicken was collected by a candidate .
the stupid chief judges the cousin .,the cousin is judged by the stupid chief .,a candidate collected a chicken .,a chicken was collected by a candidate .
the american actress hurts the corporation .,the corporation is hurt by the american actress .,a candidate collected a chicken .,a chicken was collected by a candidate .
the emotional author tastes the meal .,the meal is tasted by the emotional author .,a candidate collected a chicken .,a chicken was collected by a candidate .
the reliable minister catches the hat .,the hat is caught by the reliable minister .,a candidate collected a chicken .,a chicken was collected by a candidate .
the terrible doctor follows the captain .,the captain is followed by the terrible doctor .,a candidate collected a chicken .,a chicken was collected by a candidate .
the loving sheriff embraces the actress .,the actress is embraced by the loving sheriff .,a candidate collected a chicken .,a chicken was collected by a candidate .
the rough wife catches the pie .,the pie is caught by the rough wife .,a candidate collected a chicken .,a chicken was collected by a candidate .
the good prince prepares the coffee .,the coffee is prepared by the good prince .,a candidate collected a chicken .,a chicken was collected by a candidate .
the blind guest prepares the beer .,the beer is prepared by the blind guest .,a candidate collected a chicken .,a chicken was collected by a candidate .
the awful administration wanted the tea .,the tea was wanted by the awful administration .,a kid surprises a president .,a president is surprised by a kid .
the sad guest smelled the coffee .,the coffee was smelled by the sad guest .,a kid surprises a president .,a president is surprised by a kid .
the strong son hurried the guest .,the guest was hurried by the strong son .,a kid surprises a president .,a president is surprised by a kid .
the strong buddy selected the pie .,the pie was selected by the strong buddy .,a kid surprises a president .,a president is surprised by a kid .
the evil author selected the pie .,the pie was selected by the evil author .,a kid surprises a president .,a president is surprised by a kid .
the crazy wife bothered the band .,the band was bothered by the crazy wife .,a kid surprises a president .,a president is surprised by a kid .
the awful uncle prepared the salad .,the salad was prepared by the awful uncle .,a kid surprises a president .,a president is surprised by a kid .
the powerful scientist forgave the band .,the band was forgiven by the powerful scientist .,a kid surprises a president .,a president is surprised by a kid .
the willing pilot destroyed the bowl .,the bowl was destroyed by the willing pilot .,a kid surprises a president .,a president is surprised by a kid .
the fantastic prince left the newspaper .,the newspaper was left by the fantastic prince .,a kid surprises a president .,a president is surprised by a kid .
a blind worker understands a guy .,a guy is understood by a blind worker .,the friend collected the beer .,the beer was collected by the friend .
a blind chief surprises a leader .,a leader is surprised by a blind chief .,the friend collected the beer .,the beer was collected by the friend .
a silly kid hurries a champion .,a champion is hurried by a silly kid .,the friend collected the beer .,the beer was collected by the friend .
a modest parent embraces an uncle .,an uncle is embraced by a modest parent .,the friend collected the beer .,the beer was collected by the friend .
a sweet colonel discovers a key .,a key is discovered by a sweet colonel .,the friend collected the beer .,the beer was collected by the friend .
a weird son teaches an employee .,an employee is taught by a weird son .,the friend collected the beer .,the beer was collected by the friend .
a scary writer removes a plate .,a plate is removed by a scary writer .,the friend collected the beer .,the beer was collected by the friend .
an emotional employer hurts a business .,a business is hurt by an emotional employer .,the friend collected the beer .,the beer was collected by the friend .
a tired sheriff teaches a professor .,a professor is taught by a tired sheriff .,the friend collected the beer .,the beer was collected by the friend .
a sophisticated bishop wraps a wire .,a wire is wrapped by a sophisticated bishop .,the friend collected the beer .,the beer was collected by the friend .
the fair bishop hurries the scientist .,the scientist is hurried by the fair bishop .,a girl asked a singer .,a singer was asked by a girl .
the pale wife follows the business .,the business is followed by the pale wife .,a girl asked a singer .,a singer was asked by a girl .
the weird buddy understands the aunt .,the aunt is understood by the weird buddy .,a girl asked a singer .,a singer was asked by a girl .
the bright leader drags the prince .,the prince is dragged by the bright leader .,a girl asked a singer .,a singer was asked by a girl .
the catholic guest bothers the business .,the business is bothered by the catholic guest .,a girl asked a singer .,a singer was asked by a girl .
the religious reader eats the meal .,the meal is eaten by the religious reader .,a girl asked a singer .,a singer was asked by a girl .
the willing parent bothers the administration .,the administration is bothered by the willing parent .,a girl asked a singer .,a singer was asked by a girl .
the ill captain follows the business .,the business is followed by the ill captain .,a girl asked a singer .,a singer was asked by a girl .
the odd man bothers the club .,the club is bothered by the odd man .,a girl asked a singer .,a singer was asked by a girl .
the tough father tastes the meal .,the meal is tasted by the tough father .,a girl asked a singer .,a singer was asked by a girl .
a fantastic prince protects a candidate .,a candidate is protected by a fantastic prince .,the colonel prepared the wire .,the wire was prepared by the colonel .
a nervous buddy collects a chocolate .,a chocolate is collected by a nervous buddy .,the colonel prepared the wire .,the wire was prepared by the colonel .
a violent lawyer washes a coat .,a coat is washed by a violent lawyer .,the colonel prepared the wire .,the wire was prepared by the colonel .
a southern cop follows a business .,a business is followed by a southern cop .,the colonel prepared the wire .,the wire was prepared by the colonel .
an emotional uncle hurts a guest .,a guest is hurt by an emotional uncle .,the colonel prepared the wire .,the wire was prepared by the colonel .
a rough doctor surprises a champion .,a champion is surprised by a rough doctor .,the colonel prepared the wire .,the wire was prepared by the colonel .
a cool lawyer kills an actress .,an actress is killed by a cool lawyer .,the colonel prepared the wire .,the wire was prepared by the colonel .
a nervous guest destroys a camera .,a camera is destroyed by a nervous guest .,the colonel prepared the wire .,the wire was prepared by the colonel .
a responsible teacher tastes a chocolate .,a chocolate is tasted by a responsible teacher .,the colonel prepared the wire .,the wire was prepared by the colonel .
a rich lawyer comforts a singer .,a singer is comforted by a rich lawyer .,the colonel prepared the wire .,the wire was prepared by the colonel .
the bright teacher collects the juice .,the juice is collected by the bright teacher .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the kind parent leads the army .,the army is led by the kind parent .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the poor mother uses the button .,the button is used by the poor mother .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the helpful man wants the chicken .,the chicken is wanted by the helpful man .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the nervous secretary wants the cheese .,the cheese is wanted by the nervous secretary .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the wonderful woman kisses the lawyer .,the lawyer is kissed by the wonderful woman .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the honest adult strikes the bishop .,the bishop is struck by the honest adult .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the american attorney embraces the uncle .,the uncle is embraced by the american attorney .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the terrible minister drags the sheriff .,the sheriff is dragged by the terrible minister .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the angry employer forgives the army .,the army is forgiven by the angry employer .,an opponent hurt a corporation .,a corporation was hurt by an opponent .
the helpful lady beats the champion .,the champion is beaten by the helpful lady .,a minister judged a chief .,a chief was judged by a minister .
the sweet physician smells the coffee .,the coffee is smelled by the sweet physician .,a minister judged a chief .,a chief was judged by a minister .
the foreign hero describes the chocolate .,the chocolate is described by the foreign hero .,a minister judged a chief .,a chief was judged by a minister .
the attractive employer understands the bishop .,the bishop is understood by the attractive employer .,a minister judged a chief .,a chief was judged by a minister .
