pa, pp, ta, tp
a parent wraps a computer .,a computer is wrapped by a parent .,a parent wraps a computer .,a computer is wrapped by a parent .
a lady accepts a bag .,a bag is accepted by a lady .,a lady accepts a bag .,a bag is accepted by a lady .
a winner follows an administration .,an administration is followed by a winner .,a winner follows an administration .,an administration is followed by a winner .
a princess drags a lawyer .,a lawyer is dragged by a princess .,a princess drags a lawyer .,a lawyer is dragged by a princess .
a captain purchases a juice .,a juice is purchased by a captain .,a captain purchases a juice .,a juice is purchased by a captain .
a guest purchases a tea .,a tea is purchased by a guest .,a guest purchases a tea .,a tea is purchased by a guest .
a priest carries a juice .,a juice is carried by a priest .,a priest carries a juice .,a juice is carried by a priest .
the nurse understands the minister .,the minister is understood by the nurse .,the nurse understands the minister .,the minister is understood by the nurse .
the teacher hurries the leader .,the leader is hurried by the teacher .,the teacher hurries the leader .,the leader is hurried by the teacher .
the professor follows the bishop .,the bishop is followed by the professor .,the professor follows the bishop .,the bishop is followed by the professor .
the aunt accepts the cup .,the cup is accepted by the aunt .,the aunt accepts the cup .,the cup is accepted by the aunt .
the woman chases the priest .,the priest is chased by the woman .,the woman chases the priest .,the priest is chased by the woman .
the sheriff accepts the jacket .,the jacket is accepted by the sheriff .,the sheriff accepts the jacket .,the jacket is accepted by the sheriff .
the chief removes the bell .,the bell is removed by the chief .,the chief removes the bell .,the bell is removed by the chief .
the physician purchases the candy .,the candy is purchased by the physician .,the physician purchases the candy .,the candy is purchased by the physician .
the author kills the uncle .,the uncle is killed by the author .,the author kills the uncle .,the uncle is killed by the author .
the singer tastes the candy .,the candy is tasted by the singer .,the singer tastes the candy .,the candy is tasted by the singer .
an employee collected a bottle .,a bottle was collected by an employee .,an employee collected a bottle .,a bottle was collected by an employee .
a pilot killed a man .,a man was killed by a pilot .,a pilot killed a man .,a man was killed by a pilot .
a man understood a lawyer .,a lawyer was understood by a man .,a man understood a lawyer .,a lawyer was understood by a man .
an actor destroyed a box .,a box was destroyed by an actor .,an actor destroyed a box .,a box was destroyed by an actor .
a boy accepted a motor .,a motor was accepted by a boy .,a boy accepted a motor .,a motor was accepted by a boy .
a son prepared a beer .,a beer was prepared by a son .,a son prepared a beer .,a beer was prepared by a son .
a partner kissed a president .,a president was kissed by a partner .,a partner kissed a president .,a president was kissed by a partner .
a girl led a club .,a club was led by a girl .,a girl led a club .,a club was led by a girl .
a candidate forgave an actress .,an actress was forgiven by a candidate .,a candidate forgave an actress .,an actress was forgiven by a candidate .
an attorney washed a parent .,a parent was washed by an attorney .,an attorney washed a parent .,a parent was washed by an attorney .
a candidate caught a chocolate .,a chocolate was caught by a candidate .,a candidate caught a chocolate .,a chocolate was caught by a candidate .
a friend led a band .,a band was led by a friend .,a friend led a band .,a band was led by a friend .
a pilot hurt a reader .,a reader was hurt by a pilot .,a pilot hurt a reader .,a reader was hurt by a pilot .
a priest destroyed a chief .,a chief was destroyed by a priest .,a priest destroyed a chief .,a chief was destroyed by a priest .
a guest struck a mother .,a mother was struck by a guest .,a guest struck a mother .,a mother was struck by a guest .
a priest ate a salad .,a salad was eaten by a priest .,a priest ate a salad .,a salad was eaten by a priest .
an employee tasted a pie .,a pie was tasted by an employee .,an employee tasted a pie .,a pie was tasted by an employee .
an employee comforted a guest .,a guest was comforted by an employee .,an employee comforted a guest .,a guest was comforted by an employee .
a princess raised a juice .,a juice was raised by a princess .,a princess raised a juice .,a juice was raised by a princess .
a chief hurried a candidate .,a candidate was hurried by a chief .,a chief hurried a candidate .,a candidate was hurried by a chief .
the partner describes the cheese .,the cheese is described by the partner .,the partner describes the cheese .,the cheese is described by the partner .
the bishop chases the lawyer .,the lawyer is chased by the bishop .,the bishop chases the lawyer .,the lawyer is chased by the bishop .
the actress grabs the meal .,the meal is grabbed by the actress .,the actress grabs the meal .,the meal is grabbed by the actress .
the employer selects the coffee .,the coffee is selected by the employer .,the employer selects the coffee .,the coffee is selected by the employer .
the brother chases the administration .,the administration is chased by the brother .,the brother chases the administration .,the administration is chased by the brother .
the president strikes the reader .,the reader is struck by the president .,the president strikes the reader .,the reader is struck by the president .
the parent prepares the pie .,the pie is prepared by the parent .,the parent prepares the pie .,the pie is prepared by the parent .
the daughter wants the flower .,the flower is wanted by the daughter .,the daughter wants the flower .,the flower is wanted by the daughter .
the bishop embraces the doctor .,the doctor is embraced by the bishop .,the bishop embraces the doctor .,the doctor is embraced by the bishop .
the scientist describes the salad .,the salad is described by the scientist .,the scientist describes the salad .,the salad is described by the scientist .
a son hurries an author .,an author is hurried by a son .,a son hurries an author .,an author is hurried by a son .
a hero collects a chicken .,a chicken is collected by a hero .,a hero collects a chicken .,a chicken is collected by a hero .
a physician judges a boy .,a boy is judged by a physician .,a physician judges a boy .,a boy is judged by a physician .
a colonel raises a pie .,a pie is raised by a colonel .,a colonel raises a pie .,a pie is raised by a colonel .
a pilot selects a boy .,a boy is selected by a pilot .,a pilot selects a boy .,a boy is selected by a pilot .
an administration protects a child .,a child is protected by an administration .,an administration protects a child .,a child is protected by an administration .
a friend kisses an attorney .,an attorney is kissed by a friend .,a friend kisses an attorney .,an attorney is kissed by a friend .
a singer wraps a television .,a television is wrapped by a singer .,a singer wraps a television .,a television is wrapped by a singer .
a man carries a juice .,a juice is carried by a man .,a man carries a juice .,a juice is carried by a man .
a friend forgives a business .,a business is forgiven by a friend .,a friend forgives a business .,a business is forgiven by a friend .
a manager forgave a corporation .,a corporation was forgiven by a manager .,a manager forgave a corporation .,a corporation was forgiven by a manager .
a scientist caught an engine .,an engine was caught by a scientist .,a scientist caught an engine .,an engine was caught by a scientist .
an author joined a business .,a business was joined by an author .,an author joined a business .,a business was joined by an author .
a writer purchased a coffee .,a coffee was purchased by a writer .,a writer purchased a coffee .,a coffee was purchased by a writer .
a bishop forgot a beer .,a beer was forgotten by a bishop .,a bishop forgot a beer .,a beer was forgotten by a bishop .
a leader broke a bell .,a bell was broken by a leader .,a leader broke a bell .,a bell was broken by a leader .
a lady embraced a pilot .,a pilot was embraced by a lady .,a lady embraced a pilot .,a pilot was embraced by a lady .
a parent judged a business .,a business was judged by a parent .,a parent judged a business .,a business was judged by a parent .
a reader hurt a mayor .,a mayor was hurt by a reader .,a reader hurt a mayor .,a mayor was hurt by a reader .
a champion forgave a guy .,a guy was forgiven by a champion .,a champion forgave a guy .,a guy was forgiven by a champion .
a husband discovered a mother .,a mother was discovered by a husband .,a husband discovered a mother .,a mother was discovered by a husband .
an uncle punched an employer .,an employer was punched by an uncle .,an uncle punched an employer .,an employer was punched by an uncle .
an attorney killed an actress .,an actress was killed by an attorney .,an attorney killed an actress .,an actress was killed by an attorney .
a captain forgave a friend .,a friend was forgiven by a captain .,a captain forgave a friend .,a friend was forgiven by a captain .
a winner purchased a juice .,a juice was purchased by a winner .,a winner purchased a juice .,a juice was purchased by a winner .
a secretary accepted a machine .,a machine was accepted by a secretary .,a secretary accepted a machine .,a machine was accepted by a secretary .
a writer forgot a tea .,a tea was forgotten by a writer .,a writer forgot a tea .,a tea was forgotten by a writer .
a buddy broke a bell .,a bell was broken by a buddy .,a buddy broke a bell .,a bell was broken by a buddy .
a winner asked a band .,a band was asked by a winner .,a winner asked a band .,a band was asked by a winner .
a singer struck a teacher .,a teacher was struck by a singer .,a singer struck a teacher .,a teacher was struck by a singer .
a chief selected a gun .,a gun was selected by a chief .,a chief selected a gun .,a gun was selected by a chief .
a colonel selected a meal .,a meal was selected by a colonel .,a colonel selected a meal .,a meal was selected by a colonel .
a nurse removed a television .,a television was removed by a nurse .,a nurse removed a television .,a television was removed by a nurse .
a candidate beat a nurse .,a nurse was beaten by a candidate .,a candidate beat a nurse .,a nurse was beaten by a candidate .
an employer prepared a candy .,a candy was prepared by an employer .,an employer prepared a candy .,a candy was prepared by an employer .
an employer selected a juice .,a juice was selected by an employer .,an employer selected a juice .,a juice was selected by an employer .
a band purchased a candy .,a candy was purchased by a band .,a band purchased a candy .,a candy was purchased by a band .
a lawyer accepted a machine .,a machine was accepted by a lawyer .,a lawyer accepted a machine .,a machine was accepted by a lawyer .
a brother caught a wire .,a wire was caught by a brother .,a brother caught a wire .,a wire was caught by a brother .
a sheriff dragged a camera .,a camera was dragged by a sheriff .,a sheriff dragged a camera .,a camera was dragged by a sheriff .
a candidate forgot a coffee .,a coffee was forgotten by a candidate .,a candidate forgot a coffee .,a coffee was forgotten by a candidate .
a cousin surprised an uncle .,an uncle was surprised by a cousin .,a cousin surprised an uncle .,an uncle was surprised by a cousin .
a hero joined a band .,a band was joined by a hero .,a hero joined a band .,a band was joined by a hero .
a champion selected a guest .,a guest was selected by a champion .,a champion selected a guest .,a guest was selected by a champion .
a nurse asked a business .,a business was asked by a nurse .,a nurse asked a business .,a business was asked by a nurse .
an uncle tasted a chocolate .,a chocolate was tasted by an uncle .,an uncle tasted a chocolate .,a chocolate was tasted by an uncle .
a girl left a knife .,a knife was left by a girl .,a girl left a knife .,a knife was left by a girl .
a leader purchased a flower .,a flower was purchased by a leader .,a leader purchased a flower .,a flower was purchased by a leader .
an opponent dragged a student .,a student was dragged by an opponent .,an opponent dragged a student .,a student was dragged by an opponent .
a princess helped a physician .,a physician was helped by a princess .,a princess helped a physician .,a physician was helped by a princess .
the author discovered the tea .,the tea was discovered by the author .,the author discovered the tea .,the tea was discovered by the author .
the father beat the leader .,the leader was beaten by the father .,the father beat the leader .,the leader was beaten by the father .
the candidate understood the captain .,the captain was understood by the candidate .,the candidate understood the captain .,the captain was understood by the candidate .
the club wanted the coffee .,the coffee was wanted by the club .,the club wanted the coffee .,the coffee was wanted by the club .
the priest taught the champion .,the champion was taught by the priest .,the priest taught the champion .,the champion was taught by the priest .
the colonel raised the bowl .,the bowl was raised by the colonel .,the colonel raised the bowl .,the bowl was raised by the colonel .
the professor forgave the lady .,the lady was forgiven by the professor .,the professor forgave the lady .,the lady was forgiven by the professor .
the adult selected the cup .,the cup was selected by the adult .,the adult selected the cup .,the cup was selected by the adult .
the adult selected the candy .,the candy was selected by the adult .,the adult selected the candy .,the candy was selected by the adult .
the reader broke the book .,the book was broken by the reader .,the reader broke the book .,the book was broken by the reader .
the prince beat the worker .,the worker was beaten by the prince .,the prince beat the worker .,the worker was beaten by the prince .
the doctor purchased the bag .,the bag was purchased by the doctor .,the doctor purchased the bag .,the bag was purchased by the doctor .
the reader selected the coffee .,the coffee was selected by the reader .,the reader selected the coffee .,the coffee was selected by the reader .
the lady dragged the computer .,the computer was dragged by the lady .,the lady dragged the computer .,the computer was dragged by the lady .
the guest destroyed the uncle .,the uncle was destroyed by the guest .,the guest destroyed the uncle .,the uncle was destroyed by the guest .
the princess joined the company .,the company was joined by the princess .,the princess joined the company .,the company was joined by the princess .
the woman described the candidate .,the candidate was described by the woman .,the woman described the candidate .,the candidate was described by the woman .
the minister forgot the scientist .,the scientist was forgotten by the minister .,the minister forgot the scientist .,the scientist was forgotten by the minister .
the wife kissed the soldier .,the soldier was kissed by the wife .,the wife kissed the soldier .,the soldier was kissed by the wife .
the woman discovered the parent .,the parent was discovered by the woman .,the woman discovered the parent .,the parent was discovered by the woman .
a prince joined a guest .,a guest was joined by a prince .,a prince joined a guest .,a guest was joined by a prince .
a captain washed a glass .,a glass was washed by a captain .,a captain washed a glass .,a glass was washed by a captain .
a parent embraced a chief .,a chief was embraced by a parent .,a parent embraced a chief .,a chief was embraced by a parent .
a professor hurt a mother .,a mother was hurt by a professor .,a professor hurt a mother .,a mother was hurt by a professor .
a husband wrapped a ball .,a ball was wrapped by a husband .,a husband wrapped a ball .,a ball was wrapped by a husband .
a singer followed a corporation .,a corporation was followed by a singer .,a singer followed a corporation .,a corporation was followed by a singer .
a hero tasted a meal .,a meal was tasted by a hero .,a hero tasted a meal .,a meal was tasted by a hero .
a band kept a newspaper .,a newspaper was kept by a band .,a band kept a newspaper .,a newspaper was kept by a band .
a physician killed a princess .,a princess was killed by a physician .,a physician killed a princess .,a princess was killed by a physician .
a priest comforted an attorney .,an attorney was comforted by a priest .,a priest comforted an attorney .,an attorney was comforted by a priest .
the reader beat the wife .,the wife was beaten by the reader .,the reader beat the wife .,the wife was beaten by the reader .
the teacher purchased the chocolate .,the chocolate was purchased by the teacher .,the teacher purchased the chocolate .,the chocolate was purchased by the teacher .
the soldier comforted the son .,the son was comforted by the soldier .,the soldier comforted the son .,the son was comforted by the soldier .
the opponent accepted the button .,the button was accepted by the opponent .,the opponent accepted the button .,the button was accepted by the opponent .
the buddy discovered the salad .,the salad was discovered by the buddy .,the buddy discovered the salad .,the salad was discovered by the buddy .
the sheriff collected the coffee .,the coffee was collected by the sheriff .,the sheriff collected the coffee .,the coffee was collected by the sheriff .
the pilot forgot the cheese .,the cheese was forgotten by the pilot .,the pilot forgot the cheese .,the cheese was forgotten by the pilot .
the friend broke the glass .,the glass was broken by the friend .,the friend broke the glass .,the glass was broken by the friend .
the worker broke the wire .,the wire was broken by the worker .,the worker broke the wire .,the wire was broken by the worker .
the guy drank the coffee .,the coffee was drunk by the guy .,the guy drank the coffee .,the coffee was drunk by the guy .
the secretary kissed the actor .,the actor was kissed by the secretary .,the secretary kissed the actor .,the actor was kissed by the secretary .
the daughter forgot the television .,the television was forgotten by the daughter .,the daughter forgot the television .,the television was forgotten by the daughter .
the guest followed the company .,the company was followed by the guest .,the guest followed the company .,the company was followed by the guest .
the captain discovered the beer .,the beer was discovered by the captain .,the captain discovered the beer .,the beer was discovered by the captain .
the lady hurt the army .,the army was hurt by the lady .,the lady hurt the army .,the army was hurt by the lady .
the priest washed the bottle .,the bottle was washed by the priest .,the priest washed the bottle .,the bottle was washed by the priest .
the candidate left the key .,the key was left by the candidate .,the candidate left the key .,the key was left by the candidate .
the woman joined the colonel .,the colonel was joined by the woman .,the woman joined the colonel .,the colonel was joined by the woman .
the professor kept the cheese .,the cheese was kept by the professor .,the professor kept the cheese .,the cheese was kept by the professor .
the daughter raised the instrument .,the instrument was raised by the daughter .,the daughter raised the instrument .,the instrument was raised by the daughter .
the princess dragged the attorney .,the attorney was dragged by the princess .,the princess dragged the attorney .,the attorney was dragged by the princess .
the actress punched the uncle .,the uncle was punched by the actress .,the actress punched the uncle .,the uncle was punched by the actress .
the boy punched the singer .,the singer was punched by the boy .,the boy punched the singer .,the singer was punched by the boy .
the buddy destroyed the knife .,the knife was destroyed by the buddy .,the buddy destroyed the knife .,the knife was destroyed by the buddy .
the manager punched the singer .,the singer was punched by the manager .,the manager punched the singer .,the singer was punched by the manager .
the student chased the princess .,the princess was chased by the student .,the student chased the princess .,the princess was chased by the student .
the opponent prepared the log .,the log was prepared by the opponent .,the opponent prepared the log .,the log was prepared by the opponent .
the girl prepared the juice .,the juice was prepared by the girl .,the girl prepared the juice .,the juice was prepared by the girl .
the daughter killed the king .,the king was killed by the daughter .,the daughter killed the king .,the king was killed by the daughter .
the parent bothered the attorney .,the attorney was bothered by the parent .,the parent bothered the attorney .,the attorney was bothered by the parent .
the employer ate the pie .,the pie was eaten by the employer .,the employer ate the pie .,the pie was eaten by the employer .
the bishop chased the student .,the student was chased by the bishop .,the bishop chased the student .,the student was chased by the bishop .
the parent kept the beer .,the beer was kept by the parent .,the parent kept the beer .,the beer was kept by the parent .
the winner killed the chief .,the chief was killed by the winner .,the winner killed the chief .,the chief was killed by the winner .
the lady left the knife .,the knife was left by the lady .,the lady left the knife .,the knife was left by the lady .
the adult prepared the tea .,the tea was prepared by the adult .,the adult prepared the tea .,the tea was prepared by the adult .
the worker understood the wife .,the wife was understood by the worker .,the worker understood the wife .,the wife was understood by the worker .
the singer killed the writer .,the writer was killed by the singer .,the singer killed the writer .,the writer was killed by the singer .
the cousin carried the opponent .,the opponent was carried by the cousin .,the cousin carried the opponent .,the opponent was carried by the cousin .
the employer broke the computer .,the computer was broken by the employer .,the employer broke the computer .,the computer was broken by the employer .
the wife removed the bowl .,the bowl was removed by the wife .,the wife removed the bowl .,the bowl was removed by the wife .
the opponent caught the chicken .,the chicken was caught by the opponent .,the opponent caught the chicken .,the chicken was caught by the opponent .
the chief destroyed the bell .,the bell was destroyed by the chief .,the chief destroyed the bell .,the bell was destroyed by the chief .
the president asked the partner .,the partner was asked by the president .,the president asked the partner .,the partner was asked by the president .
the father bothered the minister .,the minister was bothered by the father .,the father bothered the minister .,the minister was bothered by the father .
the club helped the child .,the child was helped by the club .,the club helped the child .,the child was helped by the club .
the mother forgot the tea .,the tea was forgotten by the mother .,the mother forgot the tea .,the tea was forgotten by the mother .
the band helped the soldier .,the soldier was helped by the band .,the band helped the soldier .,the soldier was helped by the band .
the man struck the author .,the author was struck by the man .,the man struck the author .,the author was struck by the man .
the cousin hurried the captain .,the captain was hurried by the cousin .,the cousin hurried the captain .,the captain was hurried by the cousin .
the army wants the knife .,the knife is wanted by the army .,the army wants the knife .,the knife is wanted by the army .
the army keeps the candy .,the candy is kept by the army .,the army keeps the candy .,the candy is kept by the army .
the wife helps the brother .,the brother is helped by the wife .,the wife helps the brother .,the brother is helped by the wife .
the opponent comforts the actress .,the actress is comforted by the opponent .,the opponent comforts the actress .,the actress is comforted by the opponent .
the administration uses the wire .,the wire is used by the administration .,the administration uses the wire .,the wire is used by the administration .
the uncle joins the daughter .,the daughter is joined by the uncle .,the uncle joins the daughter .,the daughter is joined by the uncle .
the aunt understands the brother .,the brother is understood by the aunt .,the aunt understands the brother .,the brother is understood by the aunt .
the princess leaves the key .,the key is left by the princess .,the princess leaves the key .,the key is left by the princess .
the woman tastes the meal .,the meal is tasted by the woman .,the woman tastes the meal .,the meal is tasted by the woman .
the adult embraces the scientist .,the scientist is embraced by the adult .,the adult embraces the scientist .,the scientist is embraced by the adult .
a student prepared a coffee .,a coffee was prepared by a student .,a student prepared a coffee .,a coffee was prepared by a student .
a nurse embraced a husband .,a husband was embraced by a nurse .,a nurse embraced a husband .,a husband was embraced by a nurse .
a princess discovered a meal .,a meal was discovered by a princess .,a princess discovered a meal .,a meal was discovered by a princess .
a woman drank a juice .,a juice was drunk by a woman .,a woman drank a juice .,a juice was drunk by a woman .
an uncle forgot a tea .,a tea was forgotten by an uncle .,an uncle forgot a tea .,a tea was forgotten by an uncle .
an attorney comforted a king .,a king was comforted by an attorney .,an attorney comforted a king .,a king was comforted by an attorney .
a candidate accepted a camera .,a camera was accepted by a candidate .,a candidate accepted a camera .,a camera was accepted by a candidate .
a guest chased a company .,a company was chased by a guest .,a guest chased a company .,a company was chased by a guest .
a candidate forgave an army .,an army was forgiven by a candidate .,a candidate forgave an army .,an army was forgiven by a candidate .
an uncle followed a hero .,a hero was followed by an uncle .,an uncle followed a hero .,a hero was followed by an uncle .
the scientist describes the child .,the child is described by the scientist .,the scientist describes the child .,the child is described by the scientist .
the uncle chases the company .,the company is chased by the uncle .,the uncle chases the company .,the company is chased by the uncle .
the employee bothers the company .,the company is bothered by the employee .,the employee bothers the company .,the company is bothered by the employee .
the aunt follows the cousin .,the cousin is followed by the aunt .,the aunt follows the cousin .,the cousin is followed by the aunt .
the worker beats the kid .,the kid is beaten by the worker .,the worker beats the kid .,the kid is beaten by the worker .
the cousin forgives the pilot .,the pilot is forgiven by the cousin .,the cousin forgives the pilot .,the pilot is forgiven by the cousin .
the wife teaches the chief .,the chief is taught by the wife .,the wife teaches the chief .,the chief is taught by the wife .
the cop wants the wire .,the wire is wanted by the cop .,the cop wants the wire .,the wire is wanted by the cop .
the president helps the actress .,the actress is helped by the president .,the president helps the actress .,the actress is helped by the president .
the winner eats the cheese .,the cheese is eaten by the winner .,the winner eats the cheese .,the cheese is eaten by the winner .
a king asked a minister .,a minister was asked by a king .,a king asked a minister .,a minister was asked by a king .
a buddy broke a guitar .,a guitar was broken by a buddy .,a buddy broke a guitar .,a guitar was broken by a buddy .
a cousin described a teacher .,a teacher was described by a cousin .,a cousin described a teacher .,a teacher was described by a cousin .
an employer left a card .,a card was left by an employer .,an employer left a card .,a card was left by an employer .
a boy kept an engine .,an engine was kept by a boy .,a boy kept an engine .,an engine was kept by a boy .
a physician raised a boy .,a boy was raised by a physician .,a physician raised a boy .,a boy was raised by a physician .
a president surprised a woman .,a woman was surprised by a president .,a president surprised a woman .,a woman was surprised by a president .
a president caught a winner .,a winner was caught by a president .,a president caught a winner .,a winner was caught by a president .
a secretary kept a coffee .,a coffee was kept by a secretary .,a secretary kept a coffee .,a coffee was kept by a secretary .
an attorney punched a wife .,a wife was punched by an attorney .,an attorney punched a wife .,a wife was punched by an attorney .
an employee forgets a beer .,a beer is forgotten by an employee .,an employee forgets a beer .,a beer is forgotten by an employee .
a winner grabs a coffee .,a coffee is grabbed by a winner .,a winner grabs a coffee .,a coffee is grabbed by a winner .
a writer accepts a bag .,a bag is accepted by a writer .,a writer accepts a bag .,a bag is accepted by a writer .
a club helps a professor .,a professor is helped by a club .,a club helps a professor .,a professor is helped by a club .
a writer strikes a bishop .,a bishop is struck by a writer .,a writer strikes a bishop .,a bishop is struck by a writer .
a priest prepares a tea .,a tea is prepared by a priest .,a priest prepares a tea .,a tea is prepared by a priest .
an actor collects a tea .,a tea is collected by an actor .,an actor collects a tea .,a tea is collected by an actor .
a candidate accepts a plate .,a plate is accepted by a candidate .,a candidate accepts a plate .,a plate is accepted by a candidate .
a student forgets a juice .,a juice is forgotten by a student .,a student forgets a juice .,a juice is forgotten by a student .
an actress accepts a bell .,a bell is accepted by an actress .,an actress accepts a bell .,a bell is accepted by an actress .
a cop describes a guest .,a guest is described by a cop .,a cop describes a guest .,a guest is described by a cop .
a chief judges a business .,a business is judged by a chief .,a chief judges a business .,a business is judged by a chief .
a chief purchases a chocolate .,a chocolate is purchased by a chief .,a chief purchases a chocolate .,a chocolate is purchased by a chief .
a reader embraces an adult .,an adult is embraced by a reader .,a reader embraces an adult .,an adult is embraced by a reader .
an aunt hurts an opponent .,an opponent is hurt by an aunt .,an aunt hurts an opponent .,an opponent is hurt by an aunt .
a chief drags a guy .,a guy is dragged by a chief .,a chief drags a guy .,a guy is dragged by a chief .
a pilot punches a physician .,a physician is punched by a pilot .,a pilot punches a physician .,a physician is punched by a pilot .
a minister collects an iron .,an iron is collected by a minister .,a minister collects an iron .,an iron is collected by a minister .
a guy hurts a leader .,a leader is hurt by a guy .,a guy hurts a leader .,a leader is hurt by a guy .
an actor catches a professor .,a professor is caught by an actor .,an actor catches a professor .,a professor is caught by an actor .
an army wanted an instrument .,an instrument was wanted by an army .,an army wanted an instrument .,an instrument was wanted by an army .
a worker beat a girl .,a girl was beaten by a worker .,a worker beat a girl .,a girl was beaten by a worker .
a champion ate a pie .,a pie was eaten by a champion .,a champion ate a pie .,a pie was eaten by a champion .
a lawyer grabbed a juice .,a juice was grabbed by a lawyer .,a lawyer grabbed a juice .,a juice was grabbed by a lawyer .
a club protected a mayor .,a mayor was protected by a club .,a club protected a mayor .,a mayor was protected by a club .
a company protected an author .,an author was protected by a company .,a company protected an author .,an author was protected by a company .
a woman carried a bowl .,a bowl was carried by a woman .,a woman carried a bowl .,a bowl was carried by a woman .
an army used a camera .,a camera was used by an army .,an army used a camera .,a camera was used by an army .
a writer understood a secretary .,a secretary was understood by a writer .,a writer understood a secretary .,a secretary was understood by a writer .
a lady asked an administration .,an administration was asked by a lady .,a lady asked an administration .,an administration was asked by a lady .
the doctor keeps the chocolate .,the chocolate is kept by the doctor .,the doctor keeps the chocolate .,the chocolate is kept by the doctor .
the business purchases the candy .,the candy is purchased by the business .,the business purchases the candy .,the candy is purchased by the business .
the wife embraces the mayor .,the mayor is embraced by the wife .,the wife embraces the mayor .,the mayor is embraced by the wife .
the cousin smells the tea .,the tea is smelled by the cousin .,the cousin smells the tea .,the tea is smelled by the cousin .
the daughter accepts the button .,the button is accepted by the daughter .,the daughter accepts the button .,the button is accepted by the daughter .
the colonel embraces the friend .,the friend is embraced by the colonel .,the colonel embraces the friend .,the friend is embraced by the colonel .
the prince punches the author .,the author is punched by the prince .,the prince punches the author .,the author is punched by the prince .
the king forgets the salad .,the salad is forgotten by the king .,the king forgets the salad .,the salad is forgotten by the king .
the reader breaks the cigarette .,the cigarette is broken by the reader .,the reader breaks the cigarette .,the cigarette is broken by the reader .
the champion drinks the beer .,the beer is drunk by the champion .,the champion drinks the beer .,the beer is drunk by the champion .
a nurse selected a cheese .,a cheese was selected by a nurse .,a nurse selected a cheese .,a cheese was selected by a nurse .
a champion joined a girl .,a girl was joined by a champion .,a champion joined a girl .,a girl was joined by a champion .
a guy selected a pie .,a pie was selected by a guy .,a guy selected a pie .,a pie was selected by a guy .
a writer prepared a beer .,a beer was prepared by a writer .,a writer prepared a beer .,a beer was prepared by a writer .
a parent forgave a soldier .,a soldier was forgiven by a parent .,a parent forgave a soldier .,a soldier was forgiven by a parent .
a husband hurried an actress .,an actress was hurried by a husband .,a husband hurried an actress .,an actress was hurried by a husband .
a manager drank a coffee .,a coffee was drunk by a manager .,a manager drank a coffee .,a coffee was drunk by a manager .
a manager beat a writer .,a writer was beaten by a manager .,a manager beat a writer .,a writer was beaten by a manager .
an opponent ate a chocolate .,a chocolate was eaten by an opponent .,an opponent ate a chocolate .,a chocolate was eaten by an opponent .
an employer hurt an actor .,an actor was hurt by an employer .,an employer hurt an actor .,an actor was hurt by an employer .
a minister understands a husband .,a husband is understood by a minister .,a minister understands a husband .,a husband is understood by a minister .
a parent judges a company .,a company is judged by a parent .,a parent judges a company .,a company is judged by a parent .
a sheriff raises a tea .,a tea is raised by a sheriff .,a sheriff raises a tea .,a tea is raised by a sheriff .
a band keeps a computer .,a computer is kept by a band .,a band keeps a computer .,a computer is kept by a band .
a guest removes a glass .,a glass is removed by a guest .,a guest removes a glass .,a glass is removed by a guest .
a prince removes a ball .,a ball is removed by a prince .,a prince removes a ball .,a ball is removed by a prince .
an actress punches a pilot .,a pilot is punched by an actress .,an actress punches a pilot .,a pilot is punched by an actress .
a hero selects a meal .,a meal is selected by a hero .,a hero selects a meal .,a meal is selected by a hero .
a father teaches a king .,a king is taught by a father .,a father teaches a king .,a king is taught by a father .
a physician bothers an army .,an army is bothered by a physician .,a physician bothers an army .,an army is bothered by a physician .
a boy selected a tea .,a tea was selected by a boy .,a boy selected a tea .,a tea was selected by a boy .
a mother forgot a key .,a key was forgotten by a mother .,a mother forgot a key .,a key was forgotten by a mother .
a teacher punched a hero .,a hero was punched by a teacher .,a teacher punched a hero .,a hero was punched by a teacher .
a king bothered a professor .,a professor was bothered by a king .,a king bothered a professor .,a professor was bothered by a king .
a candidate forgave a club .,a club was forgiven by a candidate .,a candidate forgave a club .,a club was forgiven by a candidate .
a cousin chased a professor .,a professor was chased by a cousin .,a cousin chased a professor .,a professor was chased by a cousin .
a teacher caught a girl .,a girl was caught by a teacher .,a teacher caught a girl .,a girl was caught by a teacher .
a champion carried a cheese .,a cheese was carried by a champion .,a champion carried a cheese .,a cheese was carried by a champion .
a reader kissed a boy .,a boy was kissed by a reader .,a reader kissed a boy .,a boy was kissed by a reader .
an employer comforted a professor .,a professor was comforted by an employer .,an employer comforted a professor .,a professor was comforted by an employer .
a pilot breaks an engine .,an engine is broken by a pilot .,a pilot breaks an engine .,an engine is broken by a pilot .
a daughter drinks a coffee .,a coffee is drunk by a daughter .,a daughter drinks a coffee .,a coffee is drunk by a daughter .
an actor leaves a machine .,a machine is left by an actor .,an actor leaves a machine .,a machine is left by an actor .
a student leads a company .,a company is led by a student .,a student leads a company .,a company is led by a student .
a guy uses a key .,a key is used by a guy .,a guy uses a key .,a key is used by a guy .
an administration protects a cop .,a cop is protected by an administration .,an administration protects a cop .,a cop is protected by an administration .
a guy drinks a juice .,a juice is drunk by a guy .,a guy drinks a juice .,a juice is drunk by a guy .
a child leaves a guitar .,a guitar is left by a child .,a child leaves a guitar .,a guitar is left by a child .
a manager forgets a brother .,a brother is forgotten by a manager .,a manager forgets a brother .,a brother is forgotten by a manager .
